X,Y,F
50,-75,2520.2
23.1999,-25.6613,378.605
4.93507,-12.6665,65.1919
5.54393,-3.63598,17.2428
1.30529,-3.3502,4.56059
1.46633,-0.96169,1.20624
0.345241,-0.886104,0.319043
0.387834,-0.25436,0.0843846
0.0913138,-0.234368,0.0223191
0.102579,-0.0672764,0.00590325
0.0241519,-0.0619887,0.00156137
0.0271315,-0.0177941,0.000412971
0.00638799,-0.0163956,0.000109228
0.00717609,-0.00470641,2.88899e-05
0.00168958,-0.00433651,7.64118e-06
0.00189802,-0.00124481,2.02103e-06
0.000446882,-0.00114697,5.34549e-07
0.000502012,-0.000329242,1.41384e-07
0.000118197,-0.000303366,3.7395e-08
0.000132778,-8.70814e-05,9.89062e-09
3.12625e-05,-8.02381e-05,2.61602e-09
3.51183e-05,-2.30316e-05,6.91892e-10
8.269e-06,-2.12223e-05,1.83006e-10
9.28806e-06,-6.09089e-06,4.83969e-11
2.18739e-06,-5.6131e-06,1.28021e-11
2.45613e-06,-1.61018e-06,3.38422e-12
5.78846e-07,-1.48457e-06,8.95491e-13
6.49133e-07,-4.25061e-07,2.36364e-13
1.53397e-07,-3.92594e-07,6.26184e-14
1.71188e-07,-1.11602e-07,1.64326e-14
4.08619e-08,-1.03764e-07,4.37258e-15
4.47526e-08,-2.86785e-08,1.12165e-15
1.1074e-08,-2.73301e-08,3.02984e-16
1.12202e-08,-6.68998e-09,7.03265e-17
3.10515e-09,-6.96792e-09,1.96888e-17
2.16806e-09,-1.94317e-09,2.86604e-18
7.22004e-10,-1.84825e-09,1.38784e-18
7.67293e-11,-8.48502e-10,3.52766e-19
-2.42984e-10,-5.19976e-10,2.71096e-19
-2.94975e-10,-3.43334e-10,1.93393e-19
-2.94975e-10,-3.43334e-10,1.93393e-19
-2.94975e-10,-3.43334e-10,1.93393e-19
-2.94975e-10,-3.43334e-10,1.93393e-19
-2.94976e-10,-3.43334e-10,1.93393e-19
-2.94976e-10,-3.43334e-10,1.93393e-19
-2.94976e-10,-3.43334e-10,1.93393e-19
-2.94976e-10,-3.43334e-10,1.93393e-19
-2.94976e-10,-3.43334e-10,1.93393e-19
-2.94976e-10,-3.43334e-10,1.93393e-19
-2.94976e-10,-3.43334e-10,1.93393e-19
-2.94976e-10,-3.43334e-10,1.93393e-19
-2.94976e-10,-3.43334e-10,1.93393e-19
-2.94976e-10,-3.43334e-10,1.93393e-19
-2.94976e-10,-3.43334e-10,1.93393e-19
-2.94976e-10,-3.43334e-10,1.93393e-19
-2.94976e-10,-3.43334e-10,1.93394e-19
-2.94976e-10,-3.43334e-10,1.93394e-19
-2.94976e-10,-3.43334e-10,1.93394e-19
-2.94976e-10,-3.43334e-10,1.93394e-19
-2.94976e-10,-3.43334e-10,1.93394e-19
-2.94976e-10,-3.43334e-10,1.93394e-19
-2.94976e-10,-3.43334e-10,1.93394e-19
-2.94976e-10,-3.43334e-10,1.93394e-19
-2.94976e-10,-3.43334e-10,1.93394e-19
-2.94976e-10,-3.43334e-10,1.93394e-19
-2.94976e-10,-3.43334e-10,1.93394e-19
-2.94976e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94977e-10,-3.43334e-10,1.93394e-19
-2.94978e-10,-3.43334e-10,1.93394e-19
-2.94978e-10,-3.43334e-10,1.93394e-19
-2.94978e-10,-3.43334e-10,1.93394e-19
-2.94978e-10,-3.43334e-10,1.93394e-19
-2.94978e-10,-3.43334e-10,1.93394e-19
-2.94978e-10,-3.43334e-10,1.93394e-19
-2.94978e-10,-3.43334e-10,1.93394e-19
-2.94978e-10,-3.43334e-10,1.93394e-19
-2.94978e-10,-3.43334e-10,1.93395e-19
-2.94978e-10,-3.43334e-10,1.93395e-19
