X,Y,F
25,50,3125
15,30,1125
8.99999,18,405
5.39999,10.8,145.8
3.23999,6.48,52.488
1.944,3.888,18.8957
1.1664,2.3328,6.80244
0.699838,1.39968,2.44888
0.419903,0.839808,0.881596
0.251942,0.503885,0.317374
0.151165,0.302331,0.114255
0.090699,0.181398,0.0411317
0.0544194,0.108839,0.0148074
0.0326517,0.0653035,0.00533067
0.019591,0.0391821,0.00191904
0.0117546,0.0235092,0.000690855
0.00705276,0.0141055,0.000248708
0.00423165,0.00846333,8.95348e-05
0.00253899,0.005078,3.22325e-05
0.0015234,0.0030468,1.16037e-05
0.000914037,0.00182808,4.17733e-06
0.000548422,0.00109685,1.50384e-06
0.000329053,0.000658108,5.41382e-07
0.000197432,0.000394865,1.94897e-07
0.000118459,0.000236919,7.01629e-08
7.1075e-05,0.000142151,2.52585e-08
4.26448e-05,8.52903e-05,9.09302e-09
2.55867e-05,5.1174e-05,3.27346e-09
1.53518e-05,3.07042e-05,1.17843e-09
9.21089e-06,1.84223e-05,4.24222e-10
5.52633e-06,1.10532e-05,1.52713e-10
3.3156e-06,6.63172e-06,5.49729e-11
1.98916e-06,3.97883e-06,1.97878e-11
1.1933e-06,2.3871e-06,7.12219e-12
7.15778e-07,1.43206e-06,2.56313e-12
4.29267e-07,8.59035e-07,9.22211e-13
2.5736e-07,5.15221e-07,3.31687e-13
1.54216e-07,3.08933e-07,1.19222e-13
9.23296e-08,1.8516e-07,4.28088e-14
5.51978e-08,1.10896e-07,1.53447e-14
3.29187e-08,6.63375e-08,5.4843e-15
1.95512e-08,3.96025e-08,1.95061e-15
1.15307e-08,2.35615e-08,6.88101e-16
6.71843e-09,1.39369e-08,2.39374e-16
3.83106e-09,8.16213e-09,8.12974e-17
2.09863e-09,4.69728e-09,2.64687e-17
1.05918e-09,2.61837e-09,7.97772e-18
4.35508e-10,1.37102e-09,2.06937e-18
6.13051e-11,6.22613e-10,3.91405e-19
-1.63217e-10,1.73568e-10,5.67655e-20
-2.9793e-10,-9.58594e-11,9.79514e-20
-3.78758e-10,-2.57516e-10,2.09772e-19
-4.27255e-10,-3.54509e-10,3.08224e-19
-4.56353e-10,-4.12706e-10,3.78584e-19
-4.73812e-10,-4.47623e-10,4.24864e-19
-4.84287e-10,-4.68574e-10,4.54096e-19
-4.90572e-10,-4.81144e-10,4.72161e-19
-4.94343e-10,-4.88687e-10,4.8319e-19
-4.96606e-10,-4.93212e-10,4.89876e-19
-4.97964e-10,-4.95927e-10,4.93912e-19
-4.98778e-10,-4.97556e-10,4.96342e-19
