X,Y,F
50,-75,2520.2
23.1999,-25.6608,378.599
4.93467,-12.6667,65.194
5.5441,-3.63643,17.2439
1.30523,-3.35035,4.56104
1.46642,-0.961841,1.2064
0.345234,-0.886175,0.319096
0.387871,-0.254409,0.0844016
0.0913152,-0.234395,0.0223244
0.102593,-0.0672919,0.00590485
0.024153,-0.061998,0.00156185
0.027136,-0.0177989,0.000413112
0.00638851,-0.0163986,0.000109269
0.00717754,-0.00470786,2.89019e-05
0.00168978,-0.00433748,7.64464e-06
0.00189848,-0.00124524,2.02203e-06
0.000446951,-0.00114727,5.34832e-07
0.000502152,-0.000329369,1.41464e-07
0.00011822,-0.000303457,3.74177e-08
0.00013282,-8.71179e-05,9.89697e-09
3.12698e-05,-8.02651e-05,2.61779e-09
3.51307e-05,-2.30421e-05,6.92387e-10
8.27125e-06,-2.12303e-05,1.83144e-10
9.29167e-06,-6.09387e-06,4.8435e-11
2.18806e-06,-5.6154e-06,1.28126e-11
2.45718e-06,-1.61102e-06,3.38713e-12
5.79047e-07,-1.48523e-06,8.96292e-13
6.49432e-07,-4.253e-07,2.36584e-13
1.53455e-07,-3.92783e-07,6.26788e-14
1.71274e-07,-1.11669e-07,1.64492e-14
4.08789e-08,-1.03818e-07,4.37714e-15
4.47771e-08,-2.86975e-08,1.12289e-15
1.1079e-08,-2.73456e-08,3.03329e-16
1.12275e-08,-6.69551e-09,7.04175e-17
3.10681e-09,-6.97265e-09,1.97155e-17
2.17026e-09,-1.94383e-09,2.87092e-18
7.22746e-10,-1.84928e-09,1.38935e-18
7.70196e-11,-8.4889e-10,3.5298e-19
-2.4288e-10,-5.20129e-10,2.71133e-19
-2.94929e-10,-3.43388e-10,1.93393e-19
-2.94929e-10,-3.43388e-10,1.93393e-19
-2.94929e-10,-3.43388e-10,1.93393e-19
-2.94929e-10,-3.43388e-10,1.93393e-19
-2.94929e-10,-3.43388e-10,1.93393e-19
-2.94929e-10,-3.43388e-10,1.93393e-19
-2.94929e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93393e-19
-2.9493e-10,-3.43388e-10,1.93394e-19
-2.9493e-10,-3.43388e-10,1.93394e-19
-2.9493e-10,-3.43388e-10,1.93394e-19
-2.9493e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43388e-10,1.93394e-19
-2.94931e-10,-3.43387e-10,1.93394e-19
-2.94931e-10,-3.43387e-10,1.93394e-19
-2.94931e-10,-3.43387e-10,1.93394e-19
-2.94932e-10,-3.43387e-10,1.93394e-19
-2.94932e-10,-3.43387e-10,1.93394e-19
-2.94932e-10,-3.43387e-10,1.93394e-19
-2.94932e-10,-3.43387e-10,1.93394e-19
-2.94932e-10,-3.43387e-10,1.93394e-19
-2.94932e-10,-3.43387e-10,1.93394e-19
-2.94932e-10,-3.43387e-10,1.93394e-19
